ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
343,1179,421,0,0.737,0.263,0.000
344,1561,39,0,0.976,0.024,0.000
345,847,753,0,0.529,0.471,0.000
346,1386,214,0,0.866,0.134,0.000
347,1192,408,0,0.745,0.255,0.000
348,865,735,0,0.541,0.459,0.000
349,1148,452,0,0.718,0.282,0.000
350,1329,271,0,0.831,0.169,0.000
351,1600,0,0,1.000,0.000,0.000
352,1083,517,0,0.677,0.323,0.000
353,1214,386,0,0.759,0.241,0.000
354,1562,38,0,0.976,0.024,0.000
355,1281,319,0,0.801,0.199,0.000
356,989,611,0,0.618,0.382,0.000
357,1063,537,0,0.664,0.336,0.000
358,1015,585,0,0.634,0.366,0.000
359,1128,472,0,0.705,0.295,0.000
360,1467,133,0,0.917,0.083,0.000
361,919,681,0,0.574,0.426,0.000
362,1204,396,0,0.752,0.247,0.000
363,1316,284,0,0.823,0.177,0.000
364,1005,595,0,0.628,0.372,0.000
365,1353,247,0,0.846,0.154,0.000
366,1062,538,0,0.664,0.336,0.000
367,1345,255,0,0.841,0.159,0.000
368,1322,278,0,0.826,0.174,0.000
369,1237,363,0,0.773,0.227,0.000
370,1128,472,0,0.705,0.295,0.000
371,1543,57,0,0.964,0.036,0.000
372,1600,0,0,1.000,0.000,0.000
373,1138,462,0,0.711,0.289,0.000
374,1165,435,0,0.728,0.272,0.000
375,258,1342,0,0.161,0.839,0.000
376,1141,459,0,0.713,0.287,0.000
377,1285,315,0,0.803,0.197,0.000
378,1512,88,0,0.945,0.055,0.000
379,1085,515,0,0.678,0.322,0.000
380,1432,168,0,0.895,0.105,0.000
381,1199,401,0,0.749,0.251,0.000
382,1304,296,0,0.815,0.185,0.000
383,828,772,0,0.517,0.482,0.000
384,1289,311,0,0.806,0.194,0.000
385,1560,40,0,0.975,0.025,0.000
386,1435,165,0,0.897,0.103,0.000
387,1532,68,0,0.958,0.043,0.000
388,1445,155,0,0.903,0.097,0.000
389,1281,319,0,0.801,0.199,0.000
390,912,688,0,0.570,0.430,0.000
391,1031,569,0,0.644,0.356,0.000
392,1546,54,0,0.966,0.034,0.000
393,1262,338,0,0.789,0.211,0.000
394,1135,465,0,0.709,0.291,0.000
395,1477,123,0,0.923,0.077,0.000
396,1007,593,0,0.629,0.371,0.000
397,1271,329,0,0.794,0.206,0.000
398,1369,231,0,0.856,0.144,0.000
399,1579,21,0,0.987,0.013,0.000
400,1191,409,0,0.744,0.256,0.000
401,1257,343,0,0.786,0.214,0.000
402,1318,282,0,0.824,0.176,0.000
403,1550,50,0,0.969,0.031,0.000
404,1489,111,0,0.931,0.069,0.000
405,1400,200,0,0.875,0.125,0.000
406,1504,96,0,0.940,0.060,0.000
407,894,706,0,0.559,0.441,0.000
408,1235,365,0,0.772,0.228,0.000
409,1449,151,0,0.906,0.094,0.000
410,992,608,0,0.620,0.380,0.000
411,1340,260,0,0.838,0.163,0.000
412,1201,399,0,0.751,0.249,0.000
413,1107,493,0,0.692,0.308,0.000
414,1416,184,0,0.885,0.115,0.000
415,1068,532,0,0.667,0.333,0.000
416,1555,45,0,0.972,0.028,0.000
417,710,890,0,0.444,0.556,0.000
418,1463,137,0,0.914,0.086,0.000
419,1017,583,0,0.636,0.364,0.000
420,1302,298,0,0.814,0.186,0.000
421,1313,287,0,0.821,0.179,0.000
422,1015,585,0,0.634,0.366,0.000
423,1262,338,0,0.789,0.211,0.000
424,1019,581,0,0.637,0.363,0.000
425,1278,322,0,0.799,0.201,0.000
426,1261,339,0,0.788,0.212,0.000
427,639,961,0,0.399,0.601,0.000
428,1258,342,0,0.786,0.214,0.000
429,1056,544,0,0.660,0.340,0.000
430,734,866,0,0.459,0.541,0.000
431,1600,0,0,1.000,0.000,0.000
432,1600,0,0,1.000,0.000,0.000
433,1599,1,0,0.999,0.001,0.000
434,1007,593,0,0.629,0.371,0.000
435,1262,338,0,0.789,0.211,0.000
436,1599,1,0,0.999,0.001,0.000
437,1313,287,0,0.821,0.179,0.000
438,1557,43,0,0.973,0.027,0.000
439,1588,12,0,0.993,0.007,0.000
440,1165,435,0,0.728,0.272,0.000
441,1502,98,0,0.939,0.061,0.000
442,1600,0,0,1.000,0.000,0.000
443,1600,0,0,1.000,0.000,0.000
444,962,638,0,0.601,0.399,0.000
445,1589,11,0,0.993,0.007,0.000
446,1037,563,0,0.648,0.352,0.000
447,1600,0,0,1.000,0.000,0.000
448,1465,135,0,0.916,0.084,0.000
449,1371,229,0,0.857,0.143,0.000
450,1352,248,0,0.845,0.155,0.000
451,970,630,0,0.606,0.394,0.000
452,1600,0,0,1.000,0.000,0.000
453,952,648,0,0.595,0.405,0.000
454,1569,31,0,0.981,0.019,0.000
455,1203,397,0,0.752,0.248,0.000
456,393,1207,0,0.246,0.754,0.000
457,1161,439,0,0.726,0.274,0.000
458,1086,514,0,0.679,0.321,0.000
459,1123,477,0,0.702,0.298,0.000
460,1336,264,0,0.835,0.165,0.000
461,1048,552,0,0.655,0.345,0.000
462,1190,410,0,0.744,0.256,0.000
463,1363,237,0,0.852,0.148,0.000
464,1370,230,0,0.856,0.144,0.000
465,1544,56,0,0.965,0.035,0.000
466,616,984,0,0.385,0.615,0.000
467,1225,375,0,0.766,0.234,0.000
468,1360,240,0,0.850,0.150,0.000
469,1535,65,0,0.959,0.041,0.000
470,1482,118,0,0.926,0.074,0.000
471,984,616,0,0.615,0.385,0.000
472,995,605,0,0.622,0.378,0.000
473,997,603,0,0.623,0.377,0.000
474,1366,234,0,0.854,0.146,0.000
475,1023,577,0,0.639,0.361,0.000
476,1339,261,0,0.837,0.163,0.000
477,1219,381,0,0.762,0.238,0.000
478,677,923,0,0.423,0.577,0.000
479,1425,175,0,0.891,0.109,0.000
480,1407,193,0,0.879,0.121,0.000
481,1357,243,0,0.848,0.152,0.000
482,1350,250,0,0.844,0.156,0.000
483,1116,484,0,0.698,0.302,0.000
484,1049,551,0,0.656,0.344,0.000
485,1023,577,0,0.639,0.361,0.000
486,1488,112,0,0.930,0.070,0.000
487,1289,311,0,0.806,0.194,0.000
488,1177,423,0,0.736,0.264,0.000
489,1446,154,0,0.904,0.096,0.000
490,850,750,0,0.531,0.469,0.000
491,1375,225,0,0.859,0.141,0.000
492,1413,187,0,0.883,0.117,0.000
493,1269,331,0,0.793,0.207,0.000
494,1531,69,0,0.957,0.043,0.000
495,1217,383,0,0.761,0.239,0.000
496,1301,299,0,0.813,0.187,0.000
497,1579,21,0,0.987,0.013,0.000
498,1553,47,0,0.971,0.029,0.000
499,1600,0,0,1.000,0.000,0.000
500,1135,465,0,0.709,0.291,0.000
501,989,611,0,0.618,0.382,0.000
502,1247,353,0,0.779,0.221,0.000
503,1037,563,0,0.648,0.352,0.000
504,790,810,0,0.494,0.506,0.000
505,1022,578,0,0.639,0.361,0.000
506,1498,102,0,0.936,0.064,0.000
507,1331,269,0,0.832,0.168,0.000
508,1495,105,0,0.934,0.066,0.000
509,1031,569,0,0.644,0.356,0.000
510,1558,42,0,0.974,0.026,0.000
511,1271,329,0,0.794,0.206,0.000
512,1600,0,0,1.000,0.000,0.000
513,1599,1,0,0.999,0.001,0.000
514,1600,0,0,1.000,0.000,0.000
515,1027,573,0,0.642,0.358,0.000
516,1008,592,0,0.630,0.370,0.000
517,1532,68,0,0.958,0.043,0.000
518,1043,557,0,0.652,0.348,0.000
519,1180,420,0,0.738,0.263,0.000
520,1462,138,0,0.914,0.086,0.000
521,833,767,0,0.521,0.479,0.000
522,1433,167,0,0.896,0.104,0.000
523,1475,125,0,0.922,0.078,0.000
524,932,668,0,0.583,0.417,0.000
525,1171,429,0,0.732,0.268,0.000
526,1163,437,0,0.727,0.273,0.000
527,1223,377,0,0.764,0.236,0.000
528,1537,63,0,0.961,0.039,0.000
529,1428,172,0,0.892,0.107,0.000
530,1471,129,0,0.919,0.081,0.000
531,979,621,0,0.612,0.388,0.000
532,1015,585,0,0.634,0.366,0.000
533,555,1045,0,0.347,0.653,0.000
534,1158,442,0,0.724,0.276,0.000
535,1067,533,0,0.667,0.333,0.000
536,1423,177,0,0.889,0.111,0.000
537,1165,435,0,0.728,0.272,0.000
538,1222,378,0,0.764,0.236,0.000
539,257,1343,0,0.161,0.839,0.000
540,1006,594,0,0.629,0.371,0.000
541,1423,177,0,0.889,0.111,0.000
542,1189,411,0,0.743,0.257,0.000
543,1171,429,0,0.732,0.268,0.000
544,510,1090,0,0.319,0.681,0.000
545,1128,472,0,0.705,0.295,0.000
546,1338,262,0,0.836,0.164,0.000
547,1576,24,0,0.985,0.015,0.000
548,936,664,0,0.585,0.415,0.000
549,1194,406,0,0.746,0.254,0.000
550,1283,317,0,0.802,0.198,0.000
551,1253,347,0,0.783,0.217,0.000
552,1275,325,0,0.797,0.203,0.000
553,1441,159,0,0.901,0.099,0.000
554,1574,26,0,0.984,0.016,0.000
555,1315,285,0,0.822,0.178,0.000
556,1232,368,0,0.770,0.230,0.000
557,1412,188,0,0.882,0.117,0.000
558,1581,19,0,0.988,0.012,0.000
559,1444,156,0,0.902,0.098,0.000
560,978,622,0,0.611,0.389,0.000
561,1125,475,0,0.703,0.297,0.000
562,1380,220,0,0.863,0.138,0.000
563,1346,254,0,0.841,0.159,0.000
564,1349,251,0,0.843,0.157,0.000
565,1472,128,0,0.920,0.080,0.000
566,980,620,0,0.613,0.388,0.000
567,1444,156,0,0.902,0.098,0.000
568,1086,514,0,0.679,0.321,0.000
569,1527,73,0,0.954,0.046,0.000
570,1471,129,0,0.919,0.081,0.000
571,1462,138,0,0.914,0.086,0.000
572,1569,31,0,0.981,0.019,0.000
573,1440,160,0,0.900,0.100,0.000
574,1513,87,0,0.946,0.054,0.000
575,1000,600,0,0.625,0.375,0.000
576,1185,415,0,0.741,0.259,0.000
577,1600,0,0,1.000,0.000,0.000
578,1351,249,0,0.844,0.156,0.000
579,1599,1,0,0.999,0.001,0.000
580,1296,304,0,0.810,0.190,0.000
581,1196,404,0,0.748,0.253,0.000
582,876,724,0,0.547,0.453,0.000
583,1529,71,0,0.956,0.044,0.000
584,954,646,0,0.596,0.404,0.000
585,1330,270,0,0.831,0.169,0.000
586,1532,68,0,0.958,0.043,0.000
587,1033,567,0,0.646,0.354,0.000
588,1472,128,0,0.920,0.080,0.000
